REGION,DISTRICT,YEAR,CROP,AREA (Ha),YIELD (Mt/Ha),PRODUCTION (Mt),,
ASHANTI,Amansie Central,2014,Yam,798,12,9576,,
ASHANTI,Amansie West,2014,Yam,511,11.7,5978.7,,
ASHANTI,Ejura Sekyedumase,2014,Yam,10552,16.8,177273.6,,
ASHANTI,Mampong Municipal (Sekyere West) ,2014,Yam,5773,16,92368,,
ASHANTI,Sekyere Central,2014,Yam,2457,16,39312,,
ASHANTI,Sekyere East,2014,Yam,2131,16.5,35161.5,,
ASHANTI,Sekyere Afram Plains,2014,Yam,769,15,11535,,
ASHANTI,Sekyere South,2014,Yam,1293,15,19395,,
ASHANTI,Afigya Kwabre,2014,Yam,844,15,12660,,
ASHANTI,Ahafo Ano North,2014,Yam,751,11,8261,,
ASHANTI,Ahafo Ano South,2014,Yam,437,14,6118,,
ASHANTI,Atwima Mponua,2014,Yam,466,16,7456,,
ASHANTI,Atwima Nwabiagya,2014,Yam,1220,13,15860,,
ASHANTI,Ejusu Juaben,2014,Yam,376,13.5,5076,,
ASHANTI,Bosumtwe,2014,Yam,335,14,4690,,
ASHANTI,Atwima Kwanwoma,2014,Yam,351,14,4914,,
ASHANTI,Kwabre East,2014,Yam,192,12,2304,,
ASHANTI,Offinso,2014,Yam,275,16,4400,,
ASHANTI,Offinso North,2014,Yam,861,16,13776,,
ASHANTI,Adansi North,2014,Yam,610,11.5,7015,,
ASHANTI,Obuasi Municipal (Adansi West),2014,Yam,431,11.5,4956.5,,
ASHANTI,Adansi  South (East),2014,Yam,762,12.5,9525,,
ASHANTI,Asante Akim North,2014,Yam,866,13.6,11777.6,,
ASHANTI,Asante Akim South,2014,Yam,270,12,3240,,
ASHANTI,K. M. A.,2014,Yam,7.2,10.5,75.6,,
BRONG AHAFO,Sunyani Municipal,2014,Maize,15511,1.74,26965,,
BRONG AHAFO,Sunyani West,2014,Maize,23104,1.8,41560,,
BRONG AHAFO,Asutifi,2014,Maize,5083,1.83,9320,,
BRONG AHAFO,Wenchi,2014,Maize,16235,1.93,31350,,
BRONG AHAFO,Dormaa Municipal,2014,Maize,19129,1.79,34320,,
BRONG AHAFO,Dormaa East,2014,Maize,14530,1.8,26200,,
BRONG AHAFO,Berekum,2014,Maize,12820,1.97,25230,,
BRONG AHAFO,Tano North,2014,Maize,5759,1.81,10420,,
BRONG AHAFO,Tano South,2014,Maize,5986,1.85,11065,,
BRONG AHAFO,Sene,2014,Maize,8986,1.77,15920,,
BRONG AHAFO,Nkoranza South,2014,Maize,17120,1.82,31100,,
BRONG AHAFO,Nkoranza North,2014,Maize,20870,1.75,36500,,
BRONG AHAFO,Techiman,2014,Maize,12677,2.24,28420,,
BRONG AHAFO,Asunafo North,2014,Maize,5741,1.77,10160,,
BRONG AHAFO,Asunafo South,2014,Maize,5222,1.77,9236,,
BRONG AHAFO,Jaman North,2014,Maize,3015,1.73,5230,,
BRONG AHAFO,Jaman South,2014,Maize,6200,1.85,11460,,
BRONG AHAFO,Kintampo North,2014,Maize,27564,1.97,54260,,
BRONG AHAFO,Kintampo South,2014,Maize,11420,1.88,21420,,
BRONG AHAFO,Atebubu Amantin,2014,Maize,1789,2.03,3631,,
BRONG AHAFO,Pru,2014,Maize,3094,1.7,5264,,
BRONG AHAFO,Tain,2014,Maize,2256,1.9,4295,,
BRONG AHAFO,Asutifi,2014,Rice,390,1.77,691.96,,
BRONG AHAFO,Dormaa Municipal,2014,Rice,1039.64,1.25,1302.83,,
BRONG AHAFO,Tano North,2014,Rice,173.45,2.37,410.85,,
BRONG AHAFO,Tano South,2014,Rice,121.94,2.31,281.11,,
BRONG AHAFO,Sene,2014,Rice,2002.54,1.76,3514.94,,
BRONG AHAFO,Asunafo North,2014,Rice,141.91,1.36,193.53,,
BRONG AHAFO,Asunafo South,2014,Rice,113.53,1.36,154.61,,
BRONG AHAFO,Kintampo North,2014,Rice,50.46,1.89,95.2,,
BRONG AHAFO,Atebubu Amantin,2014,Rice,285.93,1.97,562.22,,
BRONG AHAFO,Pru,2014,Rice,128.25,1.78,228.13,,
BRONG AHAFO,Sunyani Municipal,2014,Cassava,5418,15.43,83620,,
BRONG AHAFO,Sunyani West,2014,Cassava,6930,15.53,107630,,
BRONG AHAFO,Asutifi,2014,Cassava,15315,18.49,283100,,
BRONG AHAFO,Wenchi,2014,Cassava,11064,19.63,217200,,
BRONG AHAFO,Dormaa Municipal,2014,Cassava,11070,17.65,195410,,
BRONG AHAFO,Dormaa East,2014,Cassava,7147,29.73,212500,,
BRONG AHAFO,Berekum,2014,Cassava,8619,20.97,180752,,
BRONG AHAFO,Tano North,2014,Cassava,3655,21.7,79320,,
BRONG AHAFO,Tano South,2014,Cassava,9820,22.06,216600,,
BRONG AHAFO,Sene,2014,Cassava,20513,18.83,386230,,
BRONG AHAFO,Nkoranza South,2014,Cassava,3782,21.79,82400,,
BRONG AHAFO,Nkoranza North,2014,Cassava,4429,22.24,98500,,
BRONG AHAFO,Techiman,2014,Cassava,6854,22.01,150830,,
BRONG AHAFO,Asunafo North,2014,Cassava,4462,21.13,94260,,
BRONG AHAFO,Asunafo South,2014,Cassava,14253,20.03,285420,,
BRONG AHAFO,Jaman North,2014,Cassava,2135,19.44,41500,,
BRONG AHAFO,Jaman South,2014,Cassava,4909,19.38,95120,,
BRONG AHAFO,Kintampo North,2014,Cassava,4865,17.32,84250,,
BRONG AHAFO,Kintampo South,2014,Cassava,4382,23.53,103120,,
BRONG AHAFO,Atebubu Amantin,2014,Cassava,20347,22.62,460240,,
BRONG AHAFO,Pru,2014,Cassava,9765,19.18,187300,,
BRONG AHAFO,Tain,2014,Cassava,9241,16.46,152114,,
BRONG AHAFO,Sunyani Municipal,2014,Yam,412,16.95,6985,,
BRONG AHAFO,Sunyani West,2014,Yam,261,16.21,4230,,
BRONG AHAFO,Asutifi,2014,Yam,143,11.99,1715,,
BRONG AHAFO,Wenchi,2014,Yam,11258,16.97,191000,,
BRONG AHAFO,Dormaa Municipal,2014,Yam,680,9.88,6720,,
BRONG AHAFO,Dormaa East,2014,Yam,612,8.21,5025,,
BRONG AHAFO,Berekum,2014,Yam,1275,12.63,16100,,
BRONG AHAFO,Tano North,2014,Yam,323,12.34,3985,,
BRONG AHAFO,Tano South,2014,Yam,692,13.18,9120,,
BRONG AHAFO,Sene,2014,Yam,21320,18.39,392100,,
BRONG AHAFO,Nkoranza South,2014,Yam,7213,18.74,135200,,
BRONG AHAFO,Nkoranza North,2014,Yam,6610,18.38,121500,,
BRONG AHAFO,Techiman,2014,Yam,14152,18.39,260300,,
BRONG AHAFO,Asunafo North,2014,Yam,96,14.17,1360,,
BRONG AHAFO,Asunafo South,2014,Yam,114,13.95,1590,,
BRONG AHAFO,Jaman North,2014,Yam,8554,15.04,128620,,
BRONG AHAFO,Jaman South,2014,Yam,12530,15,187950,,
BRONG AHAFO,Kintampo North,2014,Yam,9150,18.06,165240,,
BRONG AHAFO,Kintampo South,2014,Yam,8960,21.65,194000,,
BRONG AHAFO,Atebubu Amantin,2014,Yam,13235,14.76,195300,,
BRONG AHAFO,Pru,2014,Yam,13978,16.86,235670,,
BRONG AHAFO,Tain,2014,Yam,8842,17.34,153280,,
CENTRAL,Upper Denkyira East,2014,Maize,3958,1.91,7559.78,,
CENTRAL,Upper Denkyira West,2014,Maize,5710,1.75,9992.5,,
CENTRAL,Twifo-Herman/L. Denkyira,2014,Maize,4868,2.4,11683.2,,
CENTRAL,Assin South,2014,Maize,4345,2.38,10341.1,,
CENTRAL,Assin North,2014,Maize,13180,0.86,11334.8,,
CENTRAL,Abura-Asebu-Kwamankese,2014,Maize,5412,2.2,11906.4,,
CENTRAL,Asikuma-Odoben-Brakwa,2014,Maize,5010,2.1,10521,,
CENTRAL,Mfantsiman,2014,Maize,8895,1.8,16011,,
CENTRAL,Komenda-Edina-Eguafo-Abirem,2014,Maize,14104,1.4,19745.6,,
CENTRAL,Ajumako-Enyan-Esiam,2014,Maize,5200,1.3,6760,,
CENTRAL,Effutu (Winneba),2014,Maize,6235,1.86,11597.1,,
CENTRAL,Awutu-Senya,2014,Maize,11525,1.72,19823,,
CENTRAL,Gomoa East,2014,Maize,3262,1.95,6360.9,,
CENTRAL,Gomoa West,2014,Maize,3517,1.77,6225.09,,
CENTRAL,Cape Coast,2014,Maize,7766,1.44,11183.04,,
CENTRAL,Agona East,2014,Maize,2548,1.64,4178.72,,
CENTRAL,Agona West (Swedru),2014,Maize,2061.41,1.62,3339.48,,
CENTRAL,Upper Denkyira East,2014,Rice,167.14,1.27,211.45,,
